surface_roughness_um,weld_depth_mm,wall_thickness_mm,tensile_strength_mpa,temp_at_weld_celsius,pressure_test_bar,cycle_time_seconds,operator_shift,roughness_weld_ratio,thickness_deviation,weld_temp_deviation,is_night_shift,defect
2.547489673815622,4.384199227305168,8.317642712989562,487.9441304785546,1150.9295749334751,76.55423881151101,137.76377966837077,3.0,0.5810615670402423,0.11764271298956253,29.070425066524876,1,0
3.353680828802359,4.597577849468874,8.12686831653901,526.9319445782749,1201.7164310183891,87.604135433128,143.07899326623712,2.0,0.7294451421764051,0.0731316834609892,21.71643101838913,0,1
2.8383726841056003,4.102814674734131,8.076134635679775,535.7590908971994,1175.4241378751578,84.12048414096671,148.179201137051,2.0,0.691811087859512,0.1238653643202241,4.5758621248421605,0,0
3.0027508710400914,4.319212708615633,8.036572988758982,526.8783629660345,1224.9459683272619,86.98640963870376,154.36229872250954,2.0,0.6952079170250697,0.16342701124101744,44.94596832726188,0,0
3.101844753598852,4.270163750816799,8.04533409200586,532.9038316267502,1181.4609673720897,85.10302140369305,139.046200934516,1.0,0.7263994857993747,0.15466590799413993,1.4609673720897263,0,0
3.1023373458837407,4.259340177589446,8.227050803599582,500.49401499829435,1179.7941908857622,86.4251461932412,139.1540523621365,3.0,0.7283610173891143,0.02705080359958245,0.2058091142378089,1,0
2.8414669365631755,4.671367263070872,8.423839676421258,486.58423210114836,1219.2721618498756,83.417080905156,130.32858836385958,2.0,0.6082730763684322,0.22383967642125846,39.2721618498756,0,1
2.7610526724115734,3.9695529264740306,8.418874149128303,516.228489132693,1187.5747714166432,82.16259984679334,139.45404068194532,1.0,0.6955575912092777,0.21887414912830394,7.574771416643216,0,0
3.1327424725660844,5.025277782578143,8.28615795267008,510.96205915306547,1202.3251092049927,88.90771561125389,142.21524146632262,1.0,0.6233968762489944,0.08615795267008153,22.325109204992714,0,0
3.2152013912672803,4.821454780674312,8.232507946318432,526.0375837686466,1173.407523353173,87.6037264899998,134.46754655056264,2.0,0.6668529597099655,0.032507946318432346,6.592476646826981,0,0
4.288067666635848,4.504709338787327,8.367750720518968,543.3933631354619,1156.0169808695257,84.63830359729883,140.00045126990744,2.0,0.9519077354807297,0.16775072051896878,23.983019130474304,0,1
2.875039060425032,5.009287133912802,8.316444038612097,538.5717142809932,1185.358805206925,82.69370772421553,140.468394256302,2.0,0.5739417571788044,0.11644403861209796,5.358805206924899,0,0
3.5977789502035633,4.257195994561536,8.312734483810324,550.320034109395,1130.9392621817863,88.19925360130289,144.44957939812724,3.0,0.8451053120303912,0.1127344838103248,49.06073781821374,1,0
3.0119831408961995,4.504201490211414,8.383107279324316,564.714593453416,1193.1409980681774,85.32113980747248,141.91135579092557,3.0,0.668705240379049,0.18310727932431625,13.140998068177396,1,0
2.4049724341596432,4.943421569506933,8.044031016320764,513.8691266006122,1175.9577722993736,88.6448524151815,137.23276395308193,3.0,0.48649956307752656,0.1559689836792355,4.042227700626427,1,0
3.0974637286510034,4.0646321103296525,8.177801687871572,523.1574455528754,1159.0731253147158,89.99128309260095,125.83605463580362,2.0,0.7620526640079459,0.02219831212842749,20.926874685284247,0,0
